Username	Password	Permissions
pedro_pereira0@ua.pt	+w,rzvbq<g+,l3ub+q^g	A0-T0
diogo_mendes1@ua.pt	i*gl}a{g?tc-x!<t:'$}	A1-T0
bernardo_vasconcelos2@ua.pt	ynpax9<1;{exgdz`{ah<	A1-T1
bernardo_pereira3@ua.pt	uege|%6]jw|qf=~onm<^	A1-T1
joão_vasconcelos4@ua.pt	5i9;!l;,:471ro4z+ix\	A1-T1
bernardo_barroso5@ua.pt	3k7*wa?/ba)|\oi5rv#)	A1-T0
pedro_amorim6@ua.pt	;d{kli;jn-wd:#=9=o_j	A1-T1
diogo_mendes7@ua.pt	2&47;j_@`'bv+$l'$q>f	A1-T0
diogo_carvalho8@ua.pt	{u^=g`pr9c?.y,[z4#/!	A1-T1
bernardo_mendes9@ua.pt	>{_1*ub4|\&>=)ehs8w?	A1-T1
